ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,name_sent,combined_sentiment,sentiment_data_sources,fetch_time_sent,gtrends_current,gtrends_avg,gtrends_max,gtrends_trend_ratio,gtrends_is_trending,tech_score,tech_reasons,fund_score,fund_reasons,sent_score,sent_reasons,mom_score,mom_reasons,total_score,signal,analysis_time
CRM,Salesforce,クラウド/SaaS,US,195.21,0.11,3802133,14035636,0.27,289.72,178.16,15.3,194.67,206.05,240.49,52.5,-2.1552,-3.2204,1.0651,205.46,183.87,52.5,なし,25.03,,182911778816,12.1,90.0,273.66302,40.2,2026-03-20T23:41:46.753777,Salesforce,-6.0,1,2026-03-20T23:43:18.548906,3.0,3.5,6.0,0.94,False,30,RSIやや高(52) / MACDヒストグラム上昇 / BB上方(52%) / 200日SMA下,75,52週最安値圏(15%) / PER 25x / 成長(12%) / 上値余地大(+40%),15,SNS中立(-6),30,出来高減少(0.3x) / 短期上昇,40.5,★ 要注目,2026-03-20T23:43:18.562323
ZS,Zscaler,サイバーセキュリティ,US,152.83,-1.66,592731,3352871,0.18,336.27,143.28,4.9,155.02,178.81,258.22,56.0,-6.5906,-8.2394,1.6489,166.66,143.38,40.6,なし,33.32,,24572856320,25.9,,234.78804,53.6,2026-03-20T23:41:49.335109,Zscaler,0.0,1,2026-03-20T23:43:18.548928,1.0,1.0,1.0,1.0,False,40,RSIやや高(56) / MACDヒストグラム上昇 / BB中間以下(41%) / 200日SMA下,75,52週最安値圏(5%) / PER 33x / 高成長(26%) / 上値余地大(+54%),15,SNS中立(0),0,出来高減少(0.2x) / 下落トレンド,39.5,△ 様子見,2026-03-20T23:43:18.562521
AMD,AMD,半導体/AI,US,200.63,-2.26,9610844,33707887,0.29,264.33,78.21,65.8,200.44,214.43,192.97,51.4,-3.3928,-4.5934,1.2006,211.87,189.02,50.8,なし,76.87,,327109345280,34.1,,289.6087,44.3,2026-03-20T23:41:38.240482,AMD,0.0,0,2026-03-20T23:43:18.548811,,,,,,35,RSIやや高(51) / MACDヒストグラム上昇 / BB上方(51%) / 200日SMA上,45,52週中間付近(66%) / PER 77x / 高成長(34%) / 上値余地大(+44%),45,SNS中立(0) / 検索急上昇(nanx),30,出来高減少(0.3x) / 短期上昇,39.2,△ 様子見,2026-03-20T23:43:18.561647
AMZN,Amazon,テック/EC/クラウド,US,206.62,-1.03,17754737,44047606,0.4,254.0,167.32,45.3,210.92,220.89,224.82,47.8,-2.192,-2.4667,0.2747,218.02,203.81,19.8,なし,28.86,,2218049142784,13.6,,280.5484,35.8,2026-03-20T23:41:45.386265,Amazon,-22.0,1,2026-03-20T23:43:18.548895,10.0,14.9,62.0,0.78,False,60,RSI中立(48) / MACDヒストグラム上昇 / BB下限付近(20%) / 200日SMA下,60,52週中間以下(45%) / PER 29x / 成長(14%) / 上値余地大(+36%),0,SNS弱気(-22),0,出来高減少(0.4x) / 下落トレンド,39.0,△ 様子見,2026-03-20T23:43:18.562225
6723,ルネサスエレクトロニクス,半導体/マイコン,JP,2505.5,-3.0,14330000,10997570,1.3,3103.0,1362.13,65.7,2687.8,2629.29,2045.08,30.7,-53.992,-23.681,-30.311,3076.45,2299.15,26.5,なし,10.72,,4532912783360,20.1,112.0,2993.077,19.5,2026-03-20T23:42:00.545989,ルネサスエレクトロニクス,-23.0,1,2026-03-20T23:43:18.549006,5.0,8.2,24.0,0.77,False,50,RSI低め(31) / MACDマイナス圏 / BB下限付近(26%) / 200日SMA上,60,52週中間付近(66%) / PER割安(11x) / 成長(20%) / 高配当(112.0%),0,SNS弱気(-23),20,出来高やや増(1.3x) / 下落トレンド,38.5,△ 様子見,2026-03-20T23:43:18.563275
LRCX,Lam Research,半導体製造装置,US,227.75,-2.67,3041705,10129970,0.3,249.18,58.66,88.8,224.58,225.92,152.01,48.6,-0.1084,-1.0556,0.9472,250.57,198.58,56.1,なし,46.77,,286060806144,22.1,44.0,274.90323,20.7,2026-03-20T23:41:39.512711,Lam Research,0.0,0,2026-03-20T23:43:18.548816,,,,,,45,RSI中立(49) / MACDヒストグラム上昇 / BB上方(56%) / 200日SMA上,30,52週高値圏(89%) / PER 47x / 成長(22%) / 上値余地あり(+21%),45,SNS中立(0) / 検索急上昇(nanx),30,出来高減少(0.3x) / 短期上昇,38.2,△ 様子見,2026-03-20T23:43:18.561766
NVDA,NVIDIA,半導体/AI,US,175.7,-1.6,60754343,191426447,0.32,207.02,94.29,72.2,183.27,184.65,178.43,40.5,-1.7732,-1.122,-0.6513,193.53,173.0,13.1,なし,35.93,,4270388412416,73.2,2.0,268.426,52.8,2026-03-20T23:41:37.830776,NVIDIA,0.0,0,2026-03-20T23:43:18.548805,,,,,,40,RSI中立(40) / MACDマイナス圏 / BB下限付近(13%) / 200日SMA下,50,52週高値圏(72%) / PER 36x / 超高成長(73%) / 上値余地大(+53%),45,SNS中立(0) / 検索急上昇(nanx),0,出来高減少(0.3x) / 下落トレンド,38.0,△ 様子見,2026-03-20T23:43:18.561594
GOOGL,Alphabet,テック/広告/AI,US,302.05,-1.65,8640586,27685004,0.31,343.45,144.2,79.2,306.31,317.82,259.56,45.0,-2.6483,-3.3062,0.6579,314.27,298.35,23.2,なし,27.94,,3653778014208,18.0,27.0,376.75394,24.7,2026-03-20T23:41:45.795803,Alphabet,-2.0,1,2026-03-20T23:43:18.548899,25.0,25.0,41.0,0.98,False,65,RSI中立(45) / MACDヒストグラム上昇 / BB下限付近(23%) / 200日SMA上,40,52週高値圏(79%) / PER 28x / 成長(18%) / 上値余地あり(+25%),15,SNS中立(-2),0,出来高減少(0.3x) / 下落トレンド,37.8,△ 様子見,2026-03-20T23:43:18.562257
NFLX,Netflix,エンタメ/ストリーミング,US,91.25,-0.54,12592389,52151384,0.24,133.91,75.86,26.5,92.81,87.16,108.41,27.0,2.0948,2.7018,-0.607,106.67,78.95,44.3,なし,36.07,,387051225088,17.6,,113.20689,24.1,2026-03-20T23:41:54.952940,Netflix,0.0,0,2026-03-20T23:43:18.548960,0.0,0.1,2.0,0.0,False,45,RSI売られすぎ(27) / MACDマイナス圏 / BB中間以下(44%) / 200日SMA下,55,52週安値圏(26%) / PER 36x / 成長(18%) / 上値余地あり(+24%),15,SNS中立(0),15,出来高減少(0.2x) / 中期上昇,37.5,△ 様子見,2026-03-20T23:43:18.562884
8001,伊藤忠商事,総合商社,JP,2024.0,-5.07,26730900,16227860,1.65,2270.0,1193.78,77.1,2128.35,2089.09,1778.33,31.9,-12.8165,-0.7959,-12.0206,2290.71,1965.99,17.9,なし,15.22,,14175877201920,-0.3,217.0,2338.4614,15.5,2026-03-20T23:42:03.483787,伊藤忠商事,-14.0,1,2026-03-20T23:43:18.549016,41.0,53.6,100.0,0.86,False,50,RSI低め(32) / MACDマイナス圏 / BB下限付近(18%) / 200日SMA上,45,52週高値圏(77%) / PER割安(15x) / 減収(-0%) / 高配当(217.0%),15,SNS中立(-14),20,出来高やや増(1.6x) / 下落トレンド,37.0,△ 様子見,2026-03-20T23:43:18.563468
MU,Micron Technology,半導体/メモリ,US,432.75,-2.59,17384291,36178284,0.48,461.73,64.59,92.7,417.06,400.8,231.66,54.3,13.6705,10.8215,2.849,465.67,368.45,66.1,なし,41.1,,487064010752,196.3,14.0,432.48718,-0.1,2026-03-20T23:41:43.262647,Micron Technology,4.0,1,2026-03-20T23:43:18.548876,35.0,39.6,77.0,1.04,False,40,RSIやや高(54) / MACDプラス圏上昇 / BB上方(66%) / 200日SMA上,30,52週高値圏(93%) / PER 41x / 超高成長(196%) / 割高(-0%),30,SNS中立(4) / 検索上昇傾向(1.0x),50,出来高減少(0.5x) / 強い上昇トレンド,36.5,△ 様子見,2026-03-20T23:43:18.562050
7011,三菱重工業,防衛/エネルギー,JP,4848.0,-3.04,22002700,26663210,0.83,5195.0,2059.08,88.9,4828.0,4735.66,4042.04,45.4,28.6488,26.713,1.9358,5137.18,4518.82,53.2,なし,59.52,,16289841020928,-2.9,50.0,5321.933,9.8,2026-03-20T23:41:58.562144,三菱重工業,-10.0,1,2026-03-20T23:43:18.548991,32.0,39.1,65.0,0.9,False,50,RSI中立(45) / MACDプラス圏上昇 / BB上方(53%) / 200日SMA上,20,52週高値圏(89%) / PER過熱(60x) / 減収(-3%) / 高配当(50.0%),15,SNS中立(-10),60,出来高平常(0.8x) / 強い上昇トレンド,35.5,△ 様子見,2026-03-20T23:43:18.563145
ISRG,Intuitive Surgical,ヘルスケア/ロボット,US,483.13,0.67,518779,1589868,0.33,592.85,429.59,32.8,490.76,505.95,509.46,41.5,-7.2197,-7.2651,0.0454,510.59,470.92,30.8,なし,61.39,,171593138176,18.8,,606.52515,25.5,2026-03-20T23:41:53.841352,Intuitive Surgical,0.0,1,2026-03-20T23:43:18.548956,0.0,0.0,0.0,1.0,False,50,RSI中立(42) / MACDヒストグラム上昇 / BB中間以下(31%) / 200日SMA下,50,52週安値圏(33%) / PER 61x / 成長(19%) / 上値余地あり(+26%),15,SNS中立(0),0,出来高減少(0.3x) / 下落トレンド,35.5,△ 様子見,2026-03-20T23:43:18.562816
SHOP,Shopify,EC/SaaS,US,120.06,-1.89,1952438,8984721,0.22,179.01,76.89,42.3,124.96,130.93,140.66,50.7,-1.4178,-1.3326,-0.0852,135.34,114.57,26.4,なし,127.72,,156688334848,30.6,,160.15218,33.4,2026-03-20T23:41:50.130301,Shopify,-10.0,1,2026-03-20T23:43:18.548934,64.0,70.7,100.0,0.9,False,45,RSIやや高(51) / MACD反転間近 / BB下限付近(26%) / 200日SMA下,55,52週中間以下(42%) / PER 128x / 高成長(31%) / 上値余地大(+33%),15,SNS中立(-10),0,出来高減少(0.2x) / 下落トレンド,35.2,△ 様子見,2026-03-20T23:43:18.562589
SNPS,Synopsys,半導体EDA,US,427.12,-0.26,387131,2207491,0.18,645.35,380.9,17.5,429.19,455.19,490.68,51.8,-5.7221,-7.0742,1.3522,447.66,410.72,44.4,なし,65.61,,81819975680,65.5,,537.75,25.9,2026-03-20T23:41:41.289673,Synopsys,-29.0,1,2026-03-20T23:43:18.548862,3.0,5.1,9.0,0.71,False,40,RSIやや高(52) / MACDヒストグラム上昇 / BB中間以下(44%) / 200日SMA下,70,52週最安値圏(18%) / PER 66x / 超高成長(66%) / 上値余地あり(+26%),0,SNS弱気(-29),0,出来高減少(0.2x) / 下落トレンド,35.0,△ 様子見,2026-03-20T23:43:18.561913
NOW,ServiceNow,クラウド/SaaS,US,111.56,-1.51,4668853,17396662,0.27,208.94,100.58,10.1,112.85,117.03,165.0,53.0,-0.5237,-0.8534,0.3297,124.91,100.78,44.6,なし,66.79,,117695922176,20.7,,188.6695,69.1,2026-03-20T23:41:47.169393,ServiceNow,-1.0,1,2026-03-20T23:43:18.548910,53.0,56.2,69.0,0.99,False,40,RSIやや高(53) / MACDヒストグラム上昇 / BB中間以下(45%) / 200日SMA下,60,52週最安値圏(10%) / PER 67x / 成長(21%) / 上値余地大(+69%),15,SNS中立(-1),0,出来高減少(0.3x) / 下落トレンド,35.0,△ 様子見,2026-03-20T23:43:18.562356
DDOG,Datadog,クラウド/監視,US,128.01,-1.49,780282,4919159,0.16,199.72,87.0,36.4,120.53,122.83,139.36,71.0,2.1114,0.8059,1.3056,138.42,102.64,70.9,なし,412.94,,45296504832,29.2,,182.4307,42.5,2026-03-20T23:41:47.967885,Datadog,0.0,1,2026-03-20T23:43:18.548918,0.0,0.0,0.0,1.0,False,30,RSI買われすぎ(71) / MACDプラス圏上昇 / BB上方(71%) / 200日SMA下,55,52週中間以下(36%) / PER 413x / 高成長(29%) / 上値余地大(+42%),15,SNS中立(0),30,出来高減少(0.2x) / 短期上昇,34.5,△ 様子見,2026-03-20T23:43:18.562421
SNOW,Snowflake,クラウド/データ,US,174.14,-0.72,701267,6349138,0.11,277.14,130.53,29.7,172.85,185.42,216.96,54.1,-2.2459,-3.2783,1.0325,185.64,160.05,55.1,なし,71.62,,59590709248,30.1,,239.84174,37.7,2026-03-20T23:41:47.570140,Snowflake,-53.0,1,2026-03-20T23:43:18.548913,9.0,25.2,100.0,0.47,False,30,RSIやや高(54) / MACDヒストグラム上昇 / BB上方(55%) / 200日SMA下,65,52週安値圏(30%) / PER 72x / 高成長(30%) / 上値余地大(+38%),0,SNS弱気(-53),30,出来高減少(0.1x) / 短期上昇,34.5,△ 様子見,2026-03-20T23:43:18.562388
