ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time
UBER,Uber Technologies,モビリティ,US,74.35,-1.32,5157099,19020419,0.27,100.1,64.62,27.4,74.55,77.16,87.54,45.5,-0.233,-0.5674,0.3343,78.23,70.87,47.3,なし,15.72,,154476298240,20.1,,103.81077,39.6,2026-03-20T23:41:50.518783
ABNB,Airbnb,旅行/プラットフォーム,US,129.68,-0.85,862092,4276594,0.2,142.16,105.69,65.8,131.47,129.85,128.57,42.5,0.4028,0.7097,-0.3069,138.87,124.06,37.9,なし,32.18,,77744971776,12.0,,144.98611,11.8,2026-03-20T23:41:50.914292
XYZ,Block (Square),フィンテック,US,59.27,0.47,1452878,11044513,0.13,81.11,46.53,36.8,60.47,60.41,68.31,35.0,0.172,0.5938,-0.4219,70.84,50.1,44.2,ゴールデンクロス,28.22,,36016308224,3.6,,86.39895,45.8,2026-03-20T23:41:51.346268
COIN,Coinbase,暗号資産,US,202.17,-0.36,2442067,12590603,0.19,419.78,141.09,21.9,192.36,195.82,283.77,60.5,4.2305,2.2216,2.0089,221.08,163.64,67.1,なし,45.53,,54516674560,-22.2,,252.10483,24.7,2026-03-20T23:41:51.754615
LLY,Eli Lilly,ヘルスケア/製薬,US,916.1,-0.15,1058967,2819598,0.38,1108.09,622.32,60.5,992.47,1024.05,890.26,21.0,-28.0625,-19.1687,-8.8939,1078.56,906.38,5.6,なし,39.97,,820553121792,42.6,68.0,1209.3448,32.0,2026-03-20T23:41:52.410254
NVO,Novo Nordisk,ヘルスケア/製薬,US,36.66,-1.13,8735122,27223126,0.32,80.15,36.66,0.0,38.18,48.31,54.72,44.4,-2.7468,-3.1275,0.3808,39.91,36.44,6.3,なし,10.3,,163418685440,-7.6,501.0,47.22278,28.8,2026-03-20T23:41:52.947822
ISRG,Intuitive Surgical,ヘルスケア/ロボット,US,483.13,0.67,518779,1589868,0.33,592.85,429.59,32.8,490.76,505.95,509.46,41.5,-7.2197,-7.2651,0.0454,510.59,470.92,30.8,なし,61.39,,171593138176,18.8,,606.52515,25.5,2026-03-20T23:41:53.841352
DXCM,DexCom,ヘルスケア/医療機器,US,67.73,0.68,753923,3929286,0.19,89.53,54.84,37.2,69.73,70.44,72.56,30.0,-1.1396,-0.9184,-0.2211,76.38,63.07,35.0,なし,32.41,,26415802368,13.1,,86.11538,27.1,2026-03-20T23:41:54.554606
NFLX,Netflix,エンタメ/ストリーミング,US,91.25,-0.54,12592389,52151384,0.24,133.91,75.86,26.5,92.81,87.16,108.41,27.0,2.0948,2.7018,-0.607,106.67,78.95,44.3,なし,36.07,,387051225088,17.6,,113.20689,24.1,2026-03-20T23:41:54.952940
V,Visa,フィンテック/決済,US,299.76,0.02,2329520,7251166,0.32,371.15,299.02,1.0,311.63,321.37,338.24,15.5,-5.8814,-4.7504,-1.131,326.29,296.97,9.5,なし,28.17,,577949138944,14.6,89.0,400.2003,33.5,2026-03-20T23:41:55.362057
MA,Mastercard,フィンテック/決済,US,492.36,0.25,880562,3612118,0.24,597.27,477.16,12.7,508.47,526.98,555.77,29.2,-9.654,-8.2358,-1.4182,532.73,484.21,16.8,なし,29.84,,439400595456,17.6,71.0,662.58826,34.6,2026-03-20T23:41:55.795955
