ticker,name,sector,market,price,change_pct,volume,vol_avg_20d,vol_ratio,vol_5d,high_52w,low_52w,pos_52w_pct,sma_20,sma_50,sma_200,rsi_14,macd,macd_signal,macd_histogram,bb_upper,bb_lower,bb_position,cross_signal,pe_ratio,peg_ratio,market_cap,revenue_growth_pct,dividend_yield_pct,target_price,upside_pct,fetch_time,price_5y_ago,price_3y_ago,price_1y_ago,change_5y_pct,change_3y_pct,change_1y_pct,high_1y,high_1y_date,low_1y,low_1y_date
NVO,Novo Nordisk,ヘルスケア/製薬,US,43.88,3.93,25462076,16822878,1.51,"19367700,16387700,16339400,25187600,25462076",77.31,34.76,21.4,39.66,37.94,48.4,73.5,1.0485,0.6038,0.4447,43.52,35.8,104.7,なし,12.16,4.53,194572795904.0,-7.6,427.0,46.639484,6.3,2026-05-01T22:48:16.154335,,77.26,62.57,,-43.2,-29.9,77.68,2025-06-13,34.58,2026-03-03
ISRG,Intuitive Surgical,ヘルスケア/ロボット,US,457.78,0.04,1459674,2196973,0.66,"2028000,1836400,2059300,2000300,1459674",592.85,429.59,17.3,463.18,474.98,500.16,49.5,-2.7773,-2.7227,-0.0547,483.49,442.87,36.7,なし,55.56,2.4,162128674816.0,23.0,,577.00934,26.0,2026-05-01T22:48:16.785290,,301.22,517.18,,52.0,-11.5,603.88,2026-01-07,427.84,2025-10-14
DXCM,DexCom,ヘルスケア/医療機器,US,61.35,3.02,10561251,4688592,2.25,"3376900,5590700,6558800,5343300,10561251",89.53,54.84,18.8,62.44,65.85,69.49,45.0,-1.5205,-1.3999,-0.1207,66.58,58.3,36.9,なし,26.33,1.3,23673307136.0,15.0,,83.91667,36.8,2026-05-01T22:48:17.468515,,118.12,70.26,,-48.1,-12.7,89.98,2025-07-30,54.11,2025-11-07
NFLX,Netflix,エンタメ/ストリーミング,US,92.06,-1.66,30278741,41907942,0.72,"29707400,33418100,26122100,40923000,30278741",133.91,75.86,27.9,97.59,94.68,104.16,29.0,-0.9833,0.0069,-0.9902,108.95,86.23,25.7,なし,29.7,1.37,387646095360.0,16.2,,114.555,24.4,2026-05-01T22:48:18.268228,,31.75,113.35,,189.9,-18.8,134.12,2025-06-30,75.01,2026-02-23
V,Visa,フィンテック/決済,US,328.03,-0.55,6719006,6917785,0.97,"6261500,8839900,16658600,11241100,6719006",371.15,295.52,43.0,313.07,310.64,331.87,67.4,4.1724,1.8336,2.3388,330.34,295.81,93.3,なし,28.57,1.73,623828992000.0,17.1,81.0,397.45743,21.2,2026-05-01T22:48:19.105925,,221.88,339.91,,47.8,-3.5,373.34,2025-06-11,293.89,2026-04-01
MA,Mastercard,フィンテック/決済,US,495.46,-1.48,3597826,3343871,1.08,"2531300,3892500,5876700,5975100,3597826",596.25,476.35,15.9,508.52,506.2,546.67,42.5,-0.0558,0.7567,-0.8125,525.37,491.68,11.2,なし,28.64,1.6,438173204480.0,15.8,69.0,649.1667,31.0,2026-05-01T22:48:19.951583,,369.47,543.42,,34.1,-8.8,599.05,2025-08-22,479.68,2026-03-27
SMCI,Super Micro Computer,サーバー/AI,US,27.09,-1.13,24792811,29458110,0.84,"28746100,23282200,26097100,21028100,24792811",60.71,20.53,16.3,26.61,27.74,37.76,54.3,0.2501,0.1608,0.0893,31.01,22.2,55.5,なし,19.77,0.91,16267055104.0,123.4,,33.2,22.6,2026-05-01T22:48:20.680082,,10.44,32.73,,159.4,-17.2,62.36,2025-07-31,19.48,2026-03-23
ARM,Arm Holdings,半導体/IP,US,211.18,0.41,4934880,8430764,0.59,"13922800,13367900,6215500,7730800,4934880",234.81,85.82,84.1,178.59,149.84,141.28,70.7,18.9541,16.7165,2.2376,234.37,122.8,79.2,なし,277.87,2.53,224272859136.0,26.3,,171.9775,-18.6,2026-05-01T22:48:21.390401,,,115.4,,,83.0,237.68,2026-04-24,100.02,2026-02-05
DELL,Dell Technologies,サーバー/PC,US,210.17,0.58,2993529,6064801,0.49,"5821000,4437700,3635700,5635800,2993529",216.09,70.11,95.9,196.83,169.48,140.84,64.6,12.5672,13.1952,-0.628,227.48,166.19,71.8,なし,24.24,0.87,136650162176.0,39.5,121.0,187.65218,-10.7,2026-05-01T22:48:22.145466,,42.43,90.57,,395.3,132.0,221.5,2026-04-27,91.14,2025-05-06
HPE,Hewlett Packard Enterprise,サーバー/ネットワーク,US,28.57,-0.7,11026088,14112834,0.78,"8439200,11453000,13271700,17192200,11026088",28.77,12.2,98.8,26.68,23.91,22.91,74.0,1.3798,1.3147,0.0651,30.23,23.12,76.6,なし,10.51,0.85,37908221952.0,18.4,198.0,27.07684,-5.2,2026-05-01T22:48:22.958029,,13.13,16.01,,117.6,78.5,29.63,2026-04-21,15.78,2025-05-07
ORCL,Oracle,クラウド/DB,US,171.83,6.47,26244580,32141644,0.82,"21616600,33716500,20587500,20968900,26244580",325.76,121.6,24.6,164.02,155.14,211.11,60.8,4.6407,5.3478,-0.707,194.65,133.39,62.7,なし,30.85,1.02,494191017984.0,21.7,124.0,243.22795,41.6,2026-05-01T22:48:23.854703,,91.51,144.04,,87.8,19.3,343.01,2025-09-10,134.57,2026-04-10
IBM,IBM,AI/コンサルティング,US,232.2,0.53,3465597,6470359,0.54,"8060700,5162900,6443700,6279800,3465597",313.19,215.67,17.0,240.23,243.18,270.9,45.6,-4.4132,-3.2303,-1.1829,259.23,221.23,28.9,なし,20.57,2.16,218241368064.0,9.5,293.0,279.6765,20.4,2026-05-01T22:48:24.822730,,112.91,233.85,,105.6,-0.7,323.06,2025-11-12,220.72,2026-02-23
ADBE,Adobe,クリエイティブ/SaaS,US,250.71,1.87,5011727,5408801,0.93,"5067700,4641700,2664500,5122800,5011727",420.68,225.35,13.0,242.56,250.52,314.24,57.0,-0.8489,-2.2332,1.3843,256.45,228.67,79.3,なし,14.62,0.7,101336981504.0,12.0,,327.955,30.8,2026-05-01T22:48:25.656961,,368.66,374.63,,-32.0,-33.1,422.95,2025-05-21,224.13,2026-04-10
IONQ,IonQ,量子コンピュータ,US,46.2,2.39,18961806,33916735,0.56,"22968700,21447700,24594100,23258800,18961806",82.09,20.68,41.6,39.59,35.68,46.53,74.7,3.1862,2.8755,0.3107,54.83,24.35,71.7,なし,-51.54,,16938804224.0,428.5,,64.55571,39.7,2026-05-01T22:48:26.429620,,5.31,27.38,,770.1,68.7,84.64,2025-10-13,25.89,2026-03-30
RGTI,Rigetti Computing,量子コンピュータ,US,17.5,0.29,16090342,30394677,0.53,"18203500,17554300,21490000,25523300,16090342",56.34,7.5,20.5,16.8,16.31,22.85,61.1,0.3263,0.3623,-0.036,20.64,12.96,59.1,なし,-96.63,,5816047104.0,-17.9,,30.57583,74.7,2026-05-01T22:48:27.124380,,0.4,9.14,,4242.4,91.5,58.15,2025-10-14,9.14,2025-05-07
RKLB,Rocket Lab,宇宙/ロケット,US,78.81,-4.48,16253255,22484612,0.72,"19386300,14379700,17751400,17604200,16253255",96.3,16.37,78.1,77.58,72.48,62.1,57.8,2.8506,3.1744,-0.3238,93.22,61.95,53.9,なし,1537.76,,45555666944.0,35.7,,87.562,11.1,2026-05-01T22:48:27.810876,,3.77,22.12,,1990.5,256.3,99.58,2026-01-16,20.23,2025-05-09
AI,C3.ai,AI/エンタープライズ,US,9.16,3.74,5288344,4584002,1.15,"3777400,3582200,3078500,3863600,5288344",29.16,7.76,6.5,8.89,8.87,14.59,59.2,0.0041,-0.0284,0.0325,9.62,8.17,68.4,ゴールデンクロス,-10.91,,1330867456.0,-46.1,,8.81818,-3.7,2026-05-01T22:48:28.420844,,17.24,21.83,,-46.9,-58.0,30.24,2025-05-29,7.68,2026-03-30
PATH,UiPath,RPA/自動化,US,10.67,3.59,32089174,24100623,1.33,"25467000,22075500,17059700,19005600,32089174",19.29,9.38,13.0,10.43,10.93,13.1,58.4,-0.1787,-0.238,0.0593,11.23,9.63,64.9,なし,20.52,0.35,5590246400.0,13.6,,13.805,29.4,2026-05-01T22:48:29.138050,,13.58,11.88,,-21.4,-10.2,19.84,2025-12-08,9.28,2026-04-10
MDB,MongoDB,クラウド/DB,US,263.46,5.04,1417749,1636082,0.87,"1252500,1214100,852200,1844300,1417749",440.6,145.85,39.9,252.26,265.07,317.0,64.1,-1.488,-3.9575,2.4694,277.09,227.42,72.6,なし,37.38,1.67,21174155264.0,26.7,,347.1011,31.7,2026-05-01T22:48:29.909336,,217.99,172.19,,20.9,53.0,444.72,2026-01-07,169.26,2025-05-06
ESTC,Elastic,検索/データ分析,US,48.61,4.7,1520716,1767185,0.86,"1689900,1215500,1230800,1760100,1520716",95.06,43.3,10.3,47.38,50.76,72.35,60.4,-1.0671,-1.448,0.3809,50.95,43.8,67.2,なし,17.1,1.37,5031183872.0,17.7,,78.59072,61.7,2026-05-01T22:48:30.723346,,54.97,86.3,,-11.6,-43.7,96.07,2025-11-12,42.05,2026-04-10
PYPL,PayPal,フィンテック/決済,US,50.44,0.6,8514912,12336900,0.69,"7992800,9761400,18531700,12519900,8514912",77.8,38.96,29.6,48.89,46.71,59.07,64.2,1.2109,1.2005,0.0104,53.37,44.41,67.3,なし,9.32,0.91,45379555328.0,3.7,112.0,52.96735,5.0,2026-05-01T22:48:31.533982,,71.9,65.06,,-29.8,-22.5,79.08,2025-07-28,38.34,2026-02-12
SOFI,SoFi Technologies,フィンテック/ネオバンク,US,16.43,2.05,77799959,64771757,1.2,"47554300,67972700,200480800,94742400,77799959",32.21,9.5,30.5,17.64,17.6,23.76,46.4,-0.1611,0.0534,-0.2145,20.34,14.95,27.4,ゴールデンクロス,36.51,1.02,21053558784.0,42.5,,21.7,32.1,2026-05-01T22:48:33.367968,,4.91,12.51,,235.0,31.3,32.73,2025-11-12,12.43,2025-05-05
AFRM,Affirm Holdings,フィンテック/BNPL,US,67.54,5.07,6370146,5082857,1.25,"3523400,3309000,3815700,4958600,6370146",92.18,35.75,56.3,59.2,52.01,67.66,74.6,4.2328,3.8351,0.3977,73.69,44.7,78.8,なし,83.38,0.78,22498293760.0,29.6,,79.07778,17.1,2026-05-01T22:48:34.099550,,9.01,49.75,,649.6,35.8,100.0,2025-08-29,42.1,2026-03-27
RIVN,Rivian Automotive,EV,US,15.02,-8.41,53120980,25403219,2.09,"21176000,16286300,16223600,31193600,53120980",22.45,10.8,36.2,16.19,15.7,15.3,43.0,0.1284,0.2763,-0.1479,17.89,14.5,15.4,なし,-7.6,,18931552256.0,11.4,,18.2,21.2,2026-05-01T22:48:34.788206,,12.68,13.76,,18.5,9.2,22.69,2025-12-22,11.57,2025-08-06
LCID,Lucid Group,EV,US,6.54,2.67,17671942,21768067,0.81,"22676000,16357900,16976200,20927700,17671942",31.3,5.76,3.1,7.47,8.99,15.14,22.9,-0.9212,-0.8687,-0.0525,9.96,4.98,31.4,なし,-1.55,,2394963712.0,122.9,,12.77273,95.3,2026-05-01T22:48:35.494885,,72.7,25.3,,-91.0,-74.2,33.7,2025-07-17,5.62,2026-04-29
ENPH,Enphase Energy,太陽光/クリーンエネルギー,US,33.85,2.7,5860298,7385004,0.79,"4406600,9706800,17279000,9936400,5860298",62.52,26.12,21.2,33.15,38.82,36.31,59.3,-1.2387,-1.5609,0.3222,36.33,29.97,61.0,なし,33.51,0.87,4461369856.0,-20.6,,40.67407,20.2,2026-05-01T22:48:36.254121,,152.88,44.55,,-77.9,-24.0,54.43,2025-05-12,25.78,2025-11-21
RBLX,Roblox,ゲーム/メタバース,US,45.13,-18.33,53287165,11206563,4.75,"7355000,6501500,7028500,23970800,53287165",141.56,45.13,0.0,57.1,59.16,94.63,25.5,-1.6819,-0.8192,-0.8627,64.18,50.02,-34.6,なし,-34.16,8.18,32303835136.0,39.3,,80.07176,77.4,2026-05-01T22:48:37.004901,,34.45,69.0,,31.0,-34.6,150.59,2025-07-31,41.75,2026-05-01
TTWO,Take-Two Interactive,ゲーム,US,216.03,1.06,1011909,1434120,0.71,"1532900,929000,1028000,1430200,1011909",262.29,189.69,36.3,209.2,206.37,231.62,68.3,3.0576,2.4876,0.57,224.31,194.1,72.6,なし,27.42,2.36,40003452928.0,24.9,,277.09644,28.3,2026-05-01T22:48:37.823673,,121.62,235.17,,77.6,-8.1,264.79,2025-10-15,187.63,2026-03-27
EA,Electronic Arts,ゲーム,US,202.09,-0.14,1249833,1526856,0.82,"1833200,1715100,1326600,1790600,1249833",204.6,131.96,96.5,202.99,201.8,192.82,44.3,0.0826,0.2717,-0.1891,204.27,201.72,14.6,なし,75.69,1.68,50573770752.0,1.0,38.0,202.66667,0.3,2026-05-01T22:48:38.579906,,124.23,144.48,,62.7,39.9,204.7,2025-12-31,140.77,2025-05-29
MRNA,Moderna,バイオテック/mRNA,US,45.37,-1.24,10213373,5716613,1.79,"6089500,3643500,5478400,6066100,10213373",57.8,22.36,64.9,51.01,51.76,35.7,35.4,-1.1882,-0.1954,-0.9928,57.43,44.6,6.0,なし,-9.59,,17993144320.0,-29.8,,42.57895,-6.2,2026-05-01T22:48:39.242374,,131.4,27.03,,-65.5,67.9,59.55,2026-03-04,22.28,2025-11-21
ABBV,AbbVie,製薬/バイオ,US,206.6,-2.23,5342169,6908653,0.77,"7467600,6313100,10406300,10319200,5342169",238.71,164.79,56.6,205.07,213.21,214.68,52.4,-2.2197,-3.0537,0.834,213.55,196.59,59.0,なし,100.78,0.46,365426311168.0,12.4,327.0,249.26666,20.7,2026-05-01T22:48:39.923745,,136.16,187.24,,51.7,10.3,239.13,2025-10-01,171.0,2025-05-15
TMO,Thermo Fisher Scientific,ライフサイエンス,US,469.21,-2.04,1425299,2006389,0.71,"2280000,2243000,1387200,2161200,1425299",638.82,389.23,32.0,497.36,495.29,526.03,33.6,-7.9954,-3.6678,-4.3276,545.45,449.26,20.7,なし,25.78,1.57,174368456704.0,6.2,37.0,620.125,32.2,2026-05-01T22:48:40.625637,,538.81,418.35,,-12.9,12.2,643.35,2026-01-22,384.44,2025-06-18
VOO,Vanguard S&P 500,指数ETF,US,662.52,0.29,4827190,6032879,0.8,"5319200,5527100,6302000,5948400,4827190",662.52,451.33,100.0,642.11,624.64,613.93,79.1,11.883,10.5238,1.3592,676.93,607.3,79.3,なし,28.6,,,,119.0,,,2026-05-01T22:48:41.338216,,362.6,507.27,,82.7,30.6,666.41,2026-05-01,505.05,2025-05-07
